composite | 2023-02-03 2023-02-03 06:51:00 Buy: No option snapshot (expiry=2023-02-09, spot=17679.1)
composite | 2023-02-03 2023-02-03 06:52:00 Buy: No option snapshot (expiry=2023-02-09, spot=17678.8)
composite | 2023-02-03 2023-02-03 06:53:00 Buy: No option snapshot (expiry=2023-02-09, spot=17681.65)
composite | 2023-02-03 2023-02-03 06:54:00 Buy: No option snapshot (expiry=2023-02-09, spot=17685.85)
composite | 2023-02-03 2023-02-03 07:00:00 Buy: No option snapshot (expiry=2023-02-09, spot=17684.55)
composite | 2023-02-03 2023-02-03 07:09:00 Sell: No option snapshot (expiry=2023-02-09, spot=17675.15)
composite | 2023-02-03 2023-02-03 07:10:00 Sell: No option snapshot (expiry=2023-02-09, spot=17681.7)
composite | 2023-02-03 2023-02-03 07:15:00 Buy: No option snapshot (expiry=2023-02-09, spot=17697.15)
composite | 2023-02-03 2023-02-03 07:16:00 Buy: No option snapshot (expiry=2023-02-09, spot=17705.05)
composite | 2023-02-03 2023-02-03 07:17:00 Buy: No option snapshot (expiry=2023-02-09, spot=17700.3)
composite | 2023-02-03 2023-02-03 07:18:00 Buy: No option snapshot (expiry=2023-02-09, spot=17699.35)
composite | 2023-02-03 2023-02-03 07:19:00 Buy: No option snapshot (expiry=2023-02-09, spot=17696.9)
composite | 2023-02-03 2023-02-03 07:20:00 Buy: No option snapshot (expiry=2023-02-09, spot=17696.6)
composite | 2023-02-03 2023-02-03 07:21:00 Buy: No option snapshot (expiry=2023-02-09, spot=17700.65)
composite | 2023-02-03 2023-02-03 07:22:00 Buy: No option snapshot (expiry=2023-02-09, spot=17700.9)
